0 0.000196 
1 0.000181 
2 0.000186 
3 0.000181 
4 0.000194 
5 0.000195 
6 0.000208 
7 0.000213 
8 0.000242 
9 0.000271 
10 0.000295 
11 0.000251 
12 0.000288 
13 0.000245 
14 0.000316 
15 0.000266 
16 0.000258 
17 0.000269 
18 0.000281 
19 0.000289 
20 0.000317 
21 0.000330 
22 0.000401 
23 0.000415 
24 0.000432 
25 0.000502 
26 0.000513 
27 0.000532 
28 0.000518 
29 0.000555 
30 0.000542 
31 0.000599 
32 0.000618 
33 0.000664 
34 0.000644 
35 0.000624 
36 0.000643 
37 0.000665 
38 0.000644 
39 0.000700 
40 0.000664 
41 0.000706 
42 0.000827 
43 0.000798 
44 0.000801 
45 0.000861 
46 0.000775 
47 0.000893 
48 0.000796 
49 0.000832 
50 0.000818 
51 0.000868 
52 0.000866 
53 0.000898 
54 0.000906 
55 0.000925 
56 0.000915 
57 0.000945 
58 0.000960 
59 0.000970 
60 0.001005 
61 0.000999 
62 0.001041 
63 0.001013 
64 0.001042 
65 0.001165 
66 0.001069 
67 0.001068 
68 0.001115 
69 0.001118 
70 0.001127 
71 0.001121 
72 0.001153 
73 0.001174 
74 0.001506 
75 0.001252 
76 0.001237 
77 0.001251 
78 0.001264 
79 0.001262 
80 0.001440 
81 0.001375 
82 0.001302 
83 0.001331 
84 0.001337 
85 0.001342 
86 0.001364 
87 0.001400 
88 0.001394 
89 0.001416 
90 0.001445 
